#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
     6.25     0.023     0.466     0.038    6.0724    0.0537    0.8018    0.0622
    11.58     0.037   -19.189     0.036    11.324     0.051   -18.883     0.062
    -2.11     0.033    -6.276     0.036   -2.2121    0.0589   -6.0611    0.0711
   -1.387     0.054    -6.121     0.056   -1.3765    0.0733    -6.064    0.0812
  -10.412     0.036    -9.231     0.047   -10.592    0.0461   -9.2365     0.052
   18.697     0.046   -11.578     0.072    18.913    0.0439   -11.788    0.0503
    1.093     0.044     -0.63     0.045    1.0397    0.0785    -0.412    0.0745
   -6.306     0.063    -4.649     0.067   -6.4133    0.0581   -4.7909    0.0641
    0.598     0.046   -11.959     0.053   -0.2848    0.1096    -10.29    0.1157
    1.015      0.02     -5.54     0.031    0.9269    0.0633   -5.4457    0.0758
   14.859     0.077     -2.33      0.08    14.819    0.0514   -2.4068    0.0583
    5.323     0.025     7.516     0.043    5.1792    0.0558    7.8825    0.0657
    3.636     0.028    -0.036     0.033    3.6833    0.0508    0.0928    0.0573
   14.122     0.082    -3.737     0.104    14.044    0.0476   -3.5811    0.0549
   26.395     0.033    22.109     0.053    26.253    0.0554    22.265    0.0658
    -1.02     0.042     2.851      0.05   -0.9973    0.0853    3.0577    0.0832
   -4.998      0.03    -1.912     0.036   -5.1776    0.0572   -1.8318    0.0667
   -3.129     0.042    -6.254     0.053   -3.1378    0.0582   -6.0954    0.0614
   -5.286     0.041   -15.826     0.047   -5.2889    0.0746   -15.631    0.0844
    7.282     0.059    -0.034      0.08    7.2042    0.0474    0.1286     0.052
   23.154     0.023    13.726     0.032    24.177    0.1096    14.699    0.1531
   11.921     0.025    17.258     0.031    11.768    0.0492    17.538    0.0623
   165.78     0.028   -11.266      0.03    165.62    0.0546   -11.145    0.0534
    7.245     0.052   -23.427     0.063    7.2133    0.0521   -23.221    0.0597
  -14.804     0.054   -10.752     0.058   -14.808    0.0401   -10.544     0.042
  -16.035     0.067   -198.11     0.086   -16.088    0.0541    -197.9    0.0568
